filename,bibtex_key,authors,year,journal,data_source,years,countries,main_topic,must_cite,notes
"A1.pdf","A1_chaupain_guillot_2015","Chaupain-Guillot; Guillot","2015","The European Journal of Health Economics","EU-SILC","2009","EU-27 plus Norway and Iceland","Health-system characteristics, OOP, medical and dental unmet need","yes","Core EU-SILC microdata paper; OOP significant, provider density/access rules mostly not significant."
"A2.pdf","A2_madureira_lima_2018","Madureira-Lima; Reeves; Clair; Stuckler","2018","International Journal of Epidemiology","EU-SILC pseudo-panel","2008-2010","25 European countries","Great Recession, unemployment, OOP, income replacement, unmet medical need","yes","Strong motivation for unemployment, poverty/financial hardship, OOP, and social protection variables."
"A3.pdf","A3_israel_2016","Israel","2016","International Journal for Equity in Health","EU-SILC","2012","30 European countries","Financial accessibility, social protection, low-income groups, OOP, physician density","yes","Useful for social allowance/social protection and Q1/Q2 vulnerability framing."
"A4.pdf","A4_ramos_2019","Ramos; Quintal; Lourenco; Antunes","2019","Health Policy","European Social Survey","2014","European ESS round 7 countries","Measurement decomposition of unmet need into need prevalence and unmet need among those in need","yes","Measurement citation; warns that whole-population unmet need mixes need burden and access conditional on need."
"A5.pdf","A5_cylus_papanicolas_2015","Cylus; Papanicolas","2015","Health Policy","European Social Survey","2008","29 European countries","Perceived access barriers under universal coverage, income gradients, OOP comparison","yes","Complements EU-SILC with perceived future access and non-price rationing discussion."
"A6.pdf","A6_connolly_wren_2017","Sheelah Connolly; Maev-Ann Wren","2017","Health Policy","EU-SILC Ireland","2013","Ireland","Unmet healthcare need, income, eligibility, insurance, cost and waiting reasons","yes","Single-country EU-SILC analysis showing cost dominates Irish unmet need but waiting-list barriers matter for public-card holders."
"B1.pdf","B1_elstad_2016","Jon Ivar Elstad","2016","International Journal for Equity in Health","EU-SILC","2008-2013","30 European countries","Great Recession, income inequality, GDP decline, foregone medical care","yes","Directly relevant multilevel EU-SILC panel evidence linking GDP decline and inequality to foregone care, especially among disadvantaged people."
"B2.pdf","B2_kaminska_wulfgramm_2019","Monika Ewa Kaminska; Melike Wulfgramm","2019","Journal of European Social Policy","EU-SILC plus OECD, World Bank, WHO, HiT macro indicators","2005-2012","28 European countries","Out-of-pocket payments and income-related unmet health need","yes","Key source for OOP share and income-gradient interaction; supports health-financing covariates in Mahdi's models."
"B3.pdf","B3_carnazza_liberati_resce_2023","Giovanni Carnazza; Paolo Liberati; Giuliano Resce","2023","Socio-Economic Planning Sciences","European Health Interview Survey","2013-2015","29 European countries","Income-related inequality in unmet care, medicines, waiting, and distance barriers","yes","Useful for reason-specific interpretation; separates affordability, waiting-list, and distance/transport mechanisms."
"B4.pdf","B4_fiorillo_2020","Damiano Fiorillo","2020","International Journal of Health Economics and Management","EU-SILC","2006","14 western EU countries","Social capital, social support, and reasons for unmet healthcare needs","maybe","Adds individual social-support mechanisms and reason-specific findings; less central to macro panel models but useful for limitations and omitted mechanisms."
"C1.pdf","C1_moran_nolte_suhrcke_ruiz_castell_2025","Valerie Moran; Ellen Nolte; Marc Suhrcke; Maria Ruiz-Castell","2025","Social Science & Medicine","European Health Interview Survey plus Eurostat/OECD/World Bank","2018-2020 mainly 2019","27 EU countries plus Iceland and Norway","Unmet need reasons, utilisation, health-system characteristics, country-level access dimensions","yes","Very relevant recent EHIS paper separating waiting, distance, medical affordability, medicines affordability, GP use, and specialist use."
"C2.pdf","C2_detollenaere_hanssens_vyncke_2017","Jens Detollenaere; Lise Hanssens; Veerle Vyncke; Jan De Maeseneer; Sara Willems","2017","PLOS ONE","EU-SILC aggregate data plus PHAMEU","EU-SILC mainly 2013; PHAMEU 2010","31 European countries","Primary-care strength and income-related inequity in unmet need","yes","Macro-level evidence linking Gini, primary-care accessibility, and workforce development to the unmet-need income gap."
"C3.pdf","C3_kim_vonneilich_ludecke_knesebeck_2017","Tae Jun Kim; Nico Vonneilich; Daniel Ludecke; Olaf von dem Knesebeck","2017","Social Science & Medicine","International Social Survey Programme plus World Bank/OECD","2011-2013","28 countries, European and non-European","Income, financial barriers, public health expenditure, forgone care","maybe","Useful financing and inequality evidence, but less Europe-specific; public expenditure share did not moderate income-gradient in forgone care."
"C4.pdf","C4_reeves_mckee_mackenbach_2017","Aaron Reeves; Martin McKee; Johan Mackenbach; Margaret Whitehead; David Stuckler","2017","Journal of Epidemiology and Community Health","Eurostat EU-SILC plus Comparative Welfare Entitlements Dataset","2004-2010","16 European countries","Public pensions, OOP payments, older people, cost-related unmet medical need","yes","Strong panel-policy source showing social protection can buffer cost-related unmet need, especially under high OOP exposure."
"D1.pdf","D1_doupe_faghmous_basu_2019","Patrick Doupe; James Faghmous; Sanjay Basu","2019","Value in Health","Methodology primer with simulated claims data","Not applicable","Not applicable","Machine learning methods for health services research","yes","Useful methods citation for regularisation, validation, overfitting, tree ensembles, neural networks, and prediction-versus-causation framing."
"D2.pdf","D2_kino_hsu_shiba_2021","Shiho Kino; Yu-Tien Hsu; Koichiro Shiba; Yung-Shin Chien; Carol Mita; Ichiro Kawachi; Adel Daoud","2021","SSM - Population Health","Scoping review of ML and social determinants of health","Search before 2020-05-01","International, dominated by US studies","Machine learning for social determinants, prediction, fairness, causal support, data curation","yes","Methods/background citation for applying ML to social determinants and inequality while keeping causal claims limited."
